query time,sequence,query length
552,AG1,100000
519,AG1,100000
525,AG1,100000
523,AG1,100000
521,AG1,100000
78,AG1,10000
77,AG1,10000
77,AG1,10000
77,AG1,10000
77,AG1,10000
32,AG1,1000
32,AG1,1000
33,AG1,1000
33,AG1,1000
32,AG1,1000
1220,AG2,100000
1300,AG2,100000
1327,AG2,100000
1152,AG2,100000
1520,AG2,100000
168,AG2,10000
132,AG2,10000
127,AG2,10000
180,AG2,10000
179,AG2,10000
39,AG2,1000
41,AG2,1000
38,AG2,1000
48,AG2,1000
39,AG2,1000
584,AG3,100000
587,AG3,100000
577,AG3,100000
588,AG3,100000
578,AG3,100000
85,AG3,10000
86,AG3,10000
86,AG3,10000
86,AG3,10000
85,AG3,10000
35,AG3,1000
38,AG3,1000
34,AG3,1000
33,AG3,1000
34,AG3,1000
756,AG4,100000
728,AG4,100000
777,AG4,100000
756,AG4,100000
766,AG4,100000
113,AG4,10000
115,AG4,10000
113,AG4,10000
111,AG4,10000
115,AG4,10000
42,AG4,1000
47,AG4,1000
45,AG4,1000
45,AG4,1000
45,AG4,1000
1007,AG5,100000
1009,AG5,100000
1033,AG5,100000
1020,AG5,100000
998,AG5,100000
145,AG5,10000
145,AG5,10000
144,AG5,10000
143,AG5,10000
145,AG5,10000
53,AG5,1000
54,AG5,1000
57,AG5,1000
60,AG5,1000
75,AG5,1000
1977,AG6,100000
1986,AG6,100000
1980,AG6,100000
1984,AG6,100000
1926,AG6,100000
294,AG6,10000
296,AG6,10000
297,AG6,10000
296,AG6,10000
295,AG6,10000
105,AG6,1000
104,AG6,1000
106,AG6,1000
105,AG6,1000
104,AG6,1000
2999,AG7,100000
2848,AG7,100000
2977,AG7,100000
2840,AG7,100000
2985,AG7,100000
451,AG7,10000
449,AG7,10000
449,AG7,10000
450,AG7,10000
449,AG7,10000
158,AG7,1000
155,AG7,1000
159,AG7,1000
158,AG7,1000
161,AG7,1000
1301,CV,100000
1305,CV,100000
1283,CV,100000
1322,CV,100000
1329,CV,100000
143,CV,10000
157,CV,10000
176,CV,10000
154,CV,10000
162,CV,10000
32,CV,1000
34,CV,1000
28,CV,1000
39,CV,1000
27,CV,1000
833,EC,100000
818,EC,100000
868,EC,100000
793,EC,100000
801,EC,100000
98,EC,10000
111,EC,10000
110,EC,10000
104,EC,10000
112,EC,10000
30,EC,1000
37,EC,1000
33,EC,1000
36,EC,1000
33,EC,1000
751,Sh,100000
1136,Sh,100000
760,Sh,100000
938,Sh,100000
880,Sh,100000
88,Sh,10000
109,Sh,10000
190,Sh,10000
104,Sh,10000
114,Sh,10000
45,Sh,1000
31,Sh,1000
32,Sh,1000
32,Sh,1000
30,Sh,1000
