query time,sequence,query length
529,AG1,100000
520,AG1,100000
520,AG1,100000
523,AG1,100000
519,AG1,100000
74,AG1,10000
74,AG1,10000
74,AG1,10000
75,AG1,10000
74,AG1,10000
29,AG1,1000
28,AG1,1000
30,AG1,1000
29,AG1,1000
29,AG1,1000
1186,AG2,100000
1214,AG2,100000
1285,AG2,100000
1105,AG2,100000
1506,AG2,100000
166,AG2,10000
126,AG2,10000
123,AG2,10000
169,AG2,10000
172,AG2,10000
37,AG2,1000
38,AG2,1000
36,AG2,1000
47,AG2,1000
38,AG2,1000
578,AG3,100000
570,AG3,100000
573,AG3,100000
572,AG3,100000
574,AG3,100000
83,AG3,10000
83,AG3,10000
83,AG3,10000
81,AG3,10000
83,AG3,10000
30,AG3,1000
36,AG3,1000
31,AG3,1000
32,AG3,1000
31,AG3,1000
750,AG4,100000
725,AG4,100000
750,AG4,100000
756,AG4,100000
749,AG4,100000
109,AG4,10000
110,AG4,10000
109,AG4,10000
108,AG4,10000
109,AG4,10000
40,AG4,1000
42,AG4,1000
41,AG4,1000
40,AG4,1000
41,AG4,1000
981,AG5,100000
984,AG5,100000
981,AG5,100000
995,AG5,100000
1000,AG5,100000
140,AG5,10000
143,AG5,10000
142,AG5,10000
141,AG5,10000
140,AG5,10000
49,AG5,1000
51,AG5,1000
50,AG5,1000
51,AG5,1000
50,AG5,1000
1963,AG6,100000
1979,AG6,100000
1994,AG6,100000
1981,AG6,100000
1989,AG6,100000
298,AG6,10000
295,AG6,10000
296,AG6,10000
297,AG6,10000
294,AG6,10000
103,AG6,1000
101,AG6,1000
101,AG6,1000
102,AG6,1000
104,AG6,1000
2869,AG7,100000
2860,AG7,100000
2900,AG7,100000
2961,AG7,100000
2950,AG7,100000
453,AG7,10000
445,AG7,10000
450,AG7,10000
446,AG7,10000
447,AG7,10000
153,AG7,1000
152,AG7,1000
152,AG7,1000
153,AG7,1000
153,AG7,1000
1284,CV,100000
1289,CV,100000
1283,CV,100000
1317,CV,100000
1328,CV,100000
145,CV,10000
156,CV,10000
175,CV,10000
151,CV,10000
159,CV,10000
30,CV,1000
32,CV,1000
27,CV,1000
37,CV,1000
25,CV,1000
822,EC,100000
808,EC,100000
865,EC,100000
794,EC,100000
804,EC,100000
95,EC,10000
110,EC,10000
108,EC,10000
102,EC,10000
110,EC,10000
35,EC,1000
40,EC,1000
36,EC,1000
41,EC,1000
30,EC,1000
748,Sh,100000
1129,Sh,100000
771,Sh,100000
932,Sh,100000
874,Sh,100000
84,Sh,10000
106,Sh,10000
185,Sh,10000
101,Sh,10000
110,Sh,10000
43,Sh,1000
29,Sh,1000
29,Sh,1000
30,Sh,1000
27,Sh,1000
