preprocessing time,sequence,query length,query numeration,query time
0.09,AG1,100000,query0,0.0483
0.09,AG1,100000,query1,0.0478
0.09,AG1,100000,query2,0.0488
0.09,AG1,100000,query3,0.0481
0.09,AG1,100000,query4,0.0505
0.08,AG1,10000,query0,0.0057
0.08,AG1,10000,query1,0.0052
0.09,AG1,10000,query2,0.0052
0.09,AG1,10000,query3,0.0054
0.09,AG1,10000,query4,0.0051
0.09,AG1,1000,query0,0.0008
0.09,AG1,1000,query1,0.0008
0.09,AG1,1000,query2,0.0008
0.09,AG1,1000,query3,0.0008
0.09,AG1,1000,query4,0.0008
0.09,AG2,100000,query0,0.1069
0.09,AG2,100000,query1,0.0937
0.09,AG2,100000,query2,0.0972
0.09,AG2,100000,query3,0.1102
0.09,AG2,100000,query4,0.0655
0.09,AG2,10000,query0,0.006
0.09,AG2,10000,query1,0.0199
0.09,AG2,10000,query2,0.0302
0.09,AG2,10000,query3,0.0062
0.09,AG2,10000,query4,0.0079
0.09,AG2,1000,query0,0.001
0.09,AG2,1000,query1,0.004
0.09,AG2,1000,query2,0.0012
0.09,AG2,1000,query3,0.0009
0.09,AG2,1000,query4,0.0028
0.09,AG3,100000,query0,0.0551
0.09,AG3,100000,query1,0.0557
0.09,AG3,100000,query2,0.0555
0.1,AG3,100000,query3,0.0577
0.1,AG3,100000,query4,0.0577
0.1,AG3,10000,query0,0.0063
0.11,AG3,10000,query1,0.0068
0.1,AG3,10000,query2,0.0058
0.09,AG3,10000,query3,0.0057
0.1,AG3,10000,query4,0.006
0.1,AG3,1000,query0,0.0009
0.09,AG3,1000,query1,0.0009
0.11,AG3,1000,query2,0.0011
0.11,AG3,1000,query3,0.0008
0.1,AG3,1000,query4,0.0008
5.8,AG4,100000,query0,0.08
0.14,AG4,100000,query1,0.0664
0.14,AG4,100000,query2,0.1358
0.12,AG4,100000,query3,0.0747
0.12,AG4,100000,query4,0.063
0.12,AG4,10000,query0,0.022
0.12,AG4,10000,query1,0.0063
0.12,AG4,10000,query2,0.0063
0.12,AG4,10000,query3,0.0084
0.14,AG4,10000,query4,0.0065
0.13,AG4,1000,query0,0.0732
0.12,AG4,1000,query1,0.0058
0.12,AG4,1000,query2,0.001
0.12,AG4,1000,query3,0.0011
0.12,AG4,1000,query4,0.001
8.07,AG5,100000,query0,0.0626
1.99,AG5,100000,query1,0.0852
0.2,AG5,100000,query2,0.0617
0.19,AG5,100000,query3,0.0616
0.19,AG5,100000,query4,0.0609
0.19,AG5,10000,query0,0.0065
0.19,AG5,10000,query1,0.0066
0.19,AG5,10000,query2,0.0065
0.19,AG5,10000,query3,0.0064
0.19,AG5,10000,query4,0.0065
0.19,AG5,1000,query0,0.0012
0.19,AG5,1000,query1,0.0015
0.19,AG5,1000,query2,0.0011
0.19,AG5,1000,query3,0.0011
0.19,AG5,1000,query4,0.0011
28.67,AG6,100000,query0,0.0754
25.49,AG6,100000,query1,0.122
24.58,AG6,100000,query2,0.0728
38.31,AG6,100000,query3,0.0781
31.12,AG6,100000,query4,0.0728
28.77,AG6,10000,query0,0.019
5.87,AG6,10000,query1,0.0509
3.69,AG6,10000,query2,0.0114
4.19,AG6,10000,query3,0.014
3.56,AG6,10000,query4,0.011
3.02,AG6,1000,query0,0.0061
4.16,AG6,1000,query1,0.0079
3.07,AG6,1000,query2,0.0133
20.57,AG6,1000,query3,0.0426
4.51,AG6,1000,query4,0.0374
49.77,AG7,100000,query0,0.1937
43.18,AG7,100000,query1,0.0996
43.05,AG7,100000,query2,0.077
35.77,AG7,100000,query3,0.0714
45.92,AG7,100000,query4,0.0794
39.13,AG7,10000,query0,0.0302
36.58,AG7,10000,query1,0.0411
43.35,AG7,10000,query2,0.0207
32.6,AG7,10000,query3,0.0289
38.22,AG7,10000,query4,0.0137
32.67,AG7,1000,query0,0.0043
37.44,AG7,1000,query1,0.0055
31.44,AG7,1000,query2,0.0108
37.95,AG7,1000,query3,0.0109
37.38,AG7,1000,query4,0.0048
4.32,CV,100000,query0,0.2173
0.08,CV,100000,query1,0.112
0.08,CV,100000,query2,0.1117
0.08,CV,100000,query3,0.1563
0.08,CV,100000,query4,0.1049
0.08,CV,10000,query0,0.0141
0.08,CV,10000,query1,0.0064
0.08,CV,10000,query2,0.008
0.08,CV,10000,query3,0.0098
0.08,CV,10000,query4,0.0766
0.08,CV,1000,query0,0.0023
0.08,CV,1000,query1,0.001
0.08,CV,1000,query2,0.0011
0.08,CV,1000,query3,0.0012
0.08,CV,1000,query4,0.0052
4.19,EC,100000,query0,0.0941
0.09,EC,100000,query1,0.0572
0.08,EC,100000,query2,0.121
0.08,EC,100000,query3,0.0708
0.08,EC,100000,query4,0.0666
0.08,EC,10000,query0,0.0114
0.08,EC,10000,query1,0.0069
0.08,EC,10000,query2,0.0061
0.08,EC,10000,query3,0.0067
0.08,EC,10000,query4,0.006
0.09,EC,1000,query0,0.0094
0.08,EC,1000,query1,0.0011
0.08,EC,1000,query2,0.001
0.08,EC,1000,query3,0.0011
0.08,EC,1000,query4,0.0012
4.39,O,100000,query0,0.1273
0.09,O,100000,query1,0.1406
0.09,O,100000,query2,0.092
0.09,O,100000,query3,0.1079
0.09,O,100000,query4,0.1492
0.09,O,10000,query0,0.0088
0.09,O,10000,query1,0.0084
0.09,O,10000,query2,0.011
0.09,O,10000,query3,0.0092
0.09,O,10000,query4,0.022
0.09,O,1000,query0,0.0013
0.09,O,1000,query1,0.0013
0.09,O,1000,query2,0.0015
0.09,O,1000,query3,0.0011
0.09,O,1000,query4,0.0011
4.06,Sh,100000,query0,0.0951
0.08,Sh,100000,query1,0.0542
0.08,Sh,100000,query2,0.3458
0.08,Sh,100000,query3,0.0593
0.08,Sh,100000,query4,0.0545
0.08,Sh,10000,query0,0.0063
