preprocessing time, sequence, query length, query numeration, query time
4.79,AG1,100000,query0,0.4660
0.10,AG1,100000,query1,0.4029
0.09,AG1,100000,query2,0.3996
0.09,AG1,100000,query3,0.4015
0.09,AG1,100000,query4,0.4128
0.09,AG1,10000,query0,0.0414
0.09,AG1,10000,query1,0.0393
0.09,AG1,10000,query2,0.0391
0.09,AG1,10000,query3,0.0403
0.09,AG1,10000,query4,0.0400
0.09,AG1,1000,query0,0.0044
0.09,AG1,1000,query1,0.0046
0.09,AG1,1000,query2,0.0045
0.09,AG1,1000,query3,0.0046
0.09,AG1,1000,query4,0.0055
4.65,AG2,100000,query0,0.8749
0.16,AG2,100000,query1,0.7782
0.09,AG2,100000,query2,0.8679
0.10,AG2,100000,query3,0.7778
0.10,AG2,100000,query4,1.1304
0.09,AG2,10000,query0,0.0826
0.09,AG2,10000,query1,0.0680
0.09,AG2,10000,query2,0.0597
0.09,AG2,10000,query3,0.0966
0.09,AG2,10000,query4,0.0744
0.09,AG2,1000,query0,0.0072
0.09,AG2,1000,query1,0.0125
0.09,AG2,1000,query2,0.0087
0.09,AG2,1000,query3,0.0170
0.09,AG2,1000,query4,0.0077
4.93,AG3,100000,query0,0.5559
0.15,AG3,100000,query1,0.4457
0.10,AG3,100000,query2,0.4587
0.10,AG3,100000,query3,0.4463
0.10,AG3,100000,query4,0.4635
0.10,AG3,10000,query0,0.0443
0.10,AG3,10000,query1,0.0448
0.10,AG3,10000,query2,0.0456
0.10,AG3,10000,query3,0.0445
0.10,AG3,10000,query4,0.0456
0.10,AG3,1000,query0,0.0049
0.10,AG3,1000,query1,0.0049
0.10,AG3,1000,query2,0.0049
0.10,AG3,1000,query3,0.0048
0.10,AG3,1000,query4,0.0049
5.97,AG4,100000,query0,0.5786
0.17,AG4,100000,query1,0.5103
0.16,AG4,100000,query2,0.5099
0.16,AG4,100000,query3,0.5027
0.16,AG4,100000,query4,0.4946
0.16,AG4,10000,query0,0.0552
0.16,AG4,10000,query1,0.0488
0.16,AG4,10000,query2,0.0487
0.16,AG4,10000,query3,0.0488
0.16,AG4,10000,query4,0.0493
0.16,AG4,1000,query0,0.0162
0.16,AG4,1000,query1,0.0055
0.16,AG4,1000,query2,0.0054
0.16,AG4,1000,query3,0.0053
0.16,AG4,1000,query4,0.0055
8.10,AG5,100000,query0,0.5093
0.21,AG5,100000,query1,0.5253
0.16,AG5,100000,query2,0.5165
0.16,AG5,100000,query3,0.4972
0.16,AG5,100000,query4,0.5667
0.16,AG5,10000,query0,0.0495
0.16,AG5,10000,query1,0.0505
0.16,AG5,10000,query2,0.0493
0.16,AG5,10000,query3,0.0575
0.16,AG5,10000,query4,0.0494
0.16,AG5,1000,query0,0.0124
0.16,AG5,1000,query1,0.0090
0.16,AG5,1000,query2,0.0055
0.16,AG5,1000,query3,0.0055
0.16,AG5,1000,query4,0.0064
24.35,AG6,100000,query0,0.5376
24.00,AG6,100000,query1,0.5611
24.46,AG6,100000,query2,0.5196
21.85,AG6,100000,query3,0.5930
20.17,AG6,100000,query4,0.5584
17.08,AG6,10000,query0,0.0780
17.48,AG6,10000,query1,0.0633
18.79,AG6,10000,query2,0.0652
17.14,AG6,10000,query3,0.0960
18.90,AG6,10000,query4,0.0895
19.18,AG6,1000,query0,0.0184
15.80,AG6,1000,query1,0.0161
18.54,AG6,1000,query2,0.0242
15.87,AG6,1000,query3,0.0222
17.93,AG6,1000,query4,0.0187
31.79,AG7,100000,query0,0.7617
39.48,AG7,100000,query1,0.5786
39.70,AG7,100000,query2,0.5400
32.55,AG7,100000,query3,0.6701
45.38,AG7,100000,query4,0.6103
36.86,AG7,10000,query0,0.0806
