preprocessing time,sequence,query length,query numeration,query time
4.62,AG1,100000,query0,1.2537
0.09,AG1,100000,query1,1.2619
0.09,AG1,100000,query2,1.2709
0.09,AG1,100000,query3,1.2693
0.09,AG1,100000,query4,1.2529
0.09,AG1,10000,query0,0.136
0.09,AG1,10000,query1,0.1247
0.09,AG1,10000,query2,0.1252
0.09,AG1,10000,query3,0.1244
0.09,AG1,10000,query4,0.1234
0.09,AG1,1000,query0,0.0231
0.09,AG1,1000,query1,0.0133
0.09,AG1,1000,query2,0.0132
0.09,AG1,1000,query3,0.0132
0.09,AG1,1000,query4,0.0129
4.68,AG2,100000,query0,2.4051
0.09,AG2,100000,query1,2.3985
0.09,AG2,100000,query2,2.5249
0.09,AG2,100000,query3,2.1578
0.09,AG2,100000,query4,2.901
0.09,AG2,10000,query0,0.2535
0.09,AG2,10000,query1,0.202
0.09,AG2,10000,query2,0.2036
0.09,AG2,10000,query3,0.249
0.09,AG2,10000,query4,0.2346
0.09,AG2,1000,query0,0.0277
0.09,AG2,1000,query1,0.0359
0.09,AG2,1000,query2,0.021
0.09,AG2,1000,query3,0.0291
0.09,AG2,1000,query4,0.0225
4.97,AG3,100000,query0,1.5025
0.1,AG3,100000,query1,1.4291
0.09,AG3,100000,query2,1.4435
0.09,AG3,100000,query3,1.4259
0.1,AG3,100000,query4,1.4459
0.09,AG3,10000,query0,0.1416
0.09,AG3,10000,query1,0.1399
0.09,AG3,10000,query2,0.1408
0.09,AG3,10000,query3,0.1489
0.09,AG3,10000,query4,0.1429
0.09,AG3,1000,query0,0.018
0.09,AG3,1000,query1,0.0149
0.09,AG3,1000,query2,0.0147
0.09,AG3,1000,query3,0.0154
0.1,AG3,1000,query4,0.0147
5.94,AG4,100000,query0,1.6137
0.13,AG4,100000,query1,1.5358
0.12,AG4,100000,query2,1.5479
0.12,AG4,100000,query3,1.5503
0.12,AG4,100000,query4,1.5971
0.12,AG4,10000,query0,0.1527
0.12,AG4,10000,query1,0.1515
0.12,AG4,10000,query2,0.1527
0.12,AG4,10000,query3,0.1588
0.12,AG4,10000,query4,0.1513
0.12,AG4,1000,query0,0.0203
0.12,AG4,1000,query1,0.0153
0.12,AG4,1000,query2,0.0156
0.12,AG4,1000,query3,0.0153
0.12,AG4,1000,query4,0.0155
8.17,AG5,100000,query0,1.65
4.09,AG5,100000,query1,1.598
0.26,AG5,100000,query2,1.5995
0.26,AG5,100000,query3,1.5857
0.26,AG5,100000,query4,1.599
0.26,AG5,10000,query0,0.1888
0.26,AG5,10000,query1,0.1982
0.26,AG5,10000,query2,0.1842
0.26,AG5,10000,query3,0.1559
0.25,AG5,10000,query4,0.1566
0.26,AG5,1000,query0,0.0382
0.26,AG5,1000,query1,0.016
0.26,AG5,1000,query2,0.0166
0.26,AG5,1000,query3,0.016
0.26,AG5,1000,query4,0.0161
24.25,AG6,100000,query0,1.7326
24.01,AG6,100000,query1,1.7331
23.96,AG6,100000,query2,1.7485
21.43,AG6,100000,query3,1.731
21.26,AG6,100000,query4,1.7667
16.86,AG6,10000,query0,0.2707
15.78,AG6,10000,query1,0.2705
15.75,AG6,10000,query2,0.1808
14.97,AG6,10000,query3,0.2049
16.22,AG6,10000,query4,0.2783
14.77,AG6,1000,query0,0.0403
16.55,AG6,1000,query1,0.0499
15.2,AG6,1000,query2,0.0479
14.45,AG6,1000,query3,0.0439
15.47,AG6,1000,query4,0.0376
32.54,AG7,100000,query0,1.936
38.26,AG7,100000,query1,1.7061
33.98,AG7,100000,query2,1.6994
44.52,AG7,100000,query3,1.7866
35.45,AG7,100000,query4,1.7636
31.41,AG7,10000,query0,0.1801
45.35,AG7,10000,query1,0.173
37.16,AG7,10000,query2,0.2915
31.84,AG7,10000,query3,0.2749
30.06,AG7,10000,query4,0.2436
30.08,AG7,1000,query0,0.0265
28.78,AG7,1000,query1,0.0501
29.83,AG7,1000,query2,0.0252
28.69,AG7,1000,query3,0.0355
28.62,AG7,1000,query4,0.0642
3.96,CV,100000,query0,2.8963
0.09,CV,100000,query1,2.8694
0.08,CV,100000,query2,2.8322
0.08,CV,100000,query3,2.9291
0.08,CV,100000,query4,2.9256
0.08,CV,10000,query0,0.2698
0.08,CV,10000,query1,0.2961
0.08,CV,10000,query2,0.3359
0.08,CV,10000,query3,0.2868
0.08,CV,10000,query4,0.3014
0.08,CV,1000,query0,0.027
0.08,CV,1000,query1,0.0293
0.08,CV,1000,query2,0.0168
0.08,CV,1000,query3,0.0347
0.08,CV,1000,query4,0.0163
4.23,EC,100000,query0,1.797
0.09,EC,100000,query1,1.6499
0.09,EC,100000,query2,1.8321
0.09,EC,100000,query3,1.6287
0.09,EC,100000,query4,1.629
0.08,EC,10000,query0,0.1609
0.09,EC,10000,query1,0.1593
0.08,EC,10000,query2,0.1694
0.09,EC,10000,query3,0.1601
0.08,EC,10000,query4,0.1718
0.09,EC,1000,query0,0.0151
0.09,EC,1000,query1,0.0204
0.08,EC,1000,query2,0.0193
0.08,EC,1000,query3,0.0217
0.09,EC,1000,query4,0.0188
4.03,Sh,100000,query0,1.7759
0.09,Sh,100000,query1,2.3488
0.08,Sh,100000,query2,1.6962
0.08,Sh,100000,query3,2.0058
0.08,Sh,100000,query4,1.8808
0.08,Sh,10000,query0,0.1501
0.08,Sh,10000,query1,0.1817
0.08,Sh,10000,query2,0.3208
0.08,Sh,10000,query3,0.1676
0.08,Sh,10000,query4,0.1955
0.08,Sh,1000,query0,0.0382
0.08,Sh,1000,query1,0.0174
0.08,Sh,1000,query2,0.0194
0.08,Sh,1000,query3,0.017
0.08,Sh,1000,query4,0.0159
